[2020-01-29 17:51:42,309] [views.py:45] [views:getACData] [INFO]- 李潇end ac data
[2020-01-29 17:51:42,310] [views.py:42] [views:getACData] [INFO]- 李佳成start ac data
[2020-01-29 17:51:42,314] [views.py:45] [views:getACData] [INFO]- 李佳成end ac data
[2020-01-29 17:51:42,315] [views.py:42] [views:getACData] [INFO]- 阮强start ac data
[2020-01-29 17:51:42,808] [views.py:45] [views:getACData] [INFO]- 阮强end ac data
[2020-01-29 17:51:42,809] [views.py:42] [views:getACData] [INFO]- 陈玉斌start ac data
[2020-01-29 17:51:43,291] [views.py:45] [views:getACData] [INFO]- 陈玉斌end ac data
[2020-01-29 17:51:43,291] [views.py:42] [views:getACData] [INFO]- 高鸿峰start ac data
[2020-01-29 17:51:43,295] [views.py:45] [views:getACData] [INFO]- 高鸿峰end ac data
[2020-01-29 17:51:43,296] [views.py:42] [views:getACData] [INFO]- 王举start ac data
[2020-01-29 17:51:43,699] [views.py:45] [views:getACData] [INFO]- 王举end ac data
[2020-01-29 17:51:43,700] [views.py:42] [views:getACData] [INFO]- 郭昕炜start ac data
[2020-01-29 17:51:44,117] [views.py:45] [views:getACData] [INFO]- 郭昕炜end ac data
[2020-01-29 17:51:44,117] [views.py:42] [views:getACData] [INFO]- 闫嘉轩start ac data
[2020-01-29 17:51:44,123] [views.py:45] [views:getACData] [INFO]- 闫嘉轩end ac data
[2020-01-29 17:51:44,123] [views.py:42] [views:getACData] [INFO]- 陈聘之start ac data
[2020-01-29 17:51:44,602] [views.py:45] [views:getACData] [INFO]- 陈聘之end ac data
[2020-01-29 17:51:44,602] [views.py:42] [views:getACData] [INFO]- 赵艺通start ac data
[2020-01-29 17:51:45,073] [views.py:45] [views:getACData] [INFO]- 赵艺通end ac data
[2020-01-29 17:51:45,074] [views.py:42] [views:getACData] [INFO]- 侯泽坤start ac data
[2020-01-29 17:51:45,580] [views.py:45] [views:getACData] [INFO]- 侯泽坤end ac data
[2020-01-29 17:51:45,580] [views.py:42] [views:getACData] [INFO]- 李煜start ac data
[2020-01-29 17:51:46,066] [views.py:45] [views:getACData] [INFO]- 李煜end ac data
[2020-01-29 17:51:46,067] [views.py:42] [views:getACData] [INFO]- 周子桐start ac data
[2020-01-29 17:51:46,488] [views.py:45] [views:getACData] [INFO]- 周子桐end ac data
[2020-01-29 17:51:46,488] [views.py:42] [views:getACData] [INFO]- 张世东start ac data
[2020-01-29 17:51:46,493] [views.py:45] [views:getACData] [INFO]- 张世东end ac data
[2020-01-29 17:51:46,493] [views.py:42] [views:getACData] [INFO]- 曹驭舒start ac data
[2020-01-29 17:51:46,934] [views.py:45] [views:getACData] [INFO]- 曹驭舒end ac data
[2020-01-29 17:51:46,946] [views.py:42] [views:getACData] [INFO]- 庄禹start ac data
[2020-01-29 17:51:47,376] [views.py:45] [views:getACData] [INFO]- 庄禹end ac data
[2020-01-29 17:51:47,376] [views.py:42] [views:getACData] [INFO]- 胡澳start ac data
[2020-01-29 17:51:47,787] [views.py:45] [views:getACData] [INFO]- 胡澳end ac data
[2020-01-29 17:51:47,788] [views.py:42] [views:getACData] [INFO]- 王悦start ac data
[2020-01-29 17:51:48,215] [views.py:45] [views:getACData] [INFO]- 王悦end ac data
[2020-01-29 17:51:48,216] [views.py:42] [views:getACData] [INFO]- 赵鑫start ac data
[2020-01-29 17:51:48,657] [views.py:45] [views:getACData] [INFO]- 赵鑫end ac data
[2020-01-29 17:51:48,657] [views.py:42] [views:getACData] [INFO]- 计科1806start ac data
[2020-01-29 17:51:48,662] [views.py:45] [views:getACData] [INFO]- 计科1806end ac data
[2020-01-29 17:51:48,663] [views.py:42] [views:getACData] [INFO]- 计科1904start ac data
[2020-01-29 17:51:48,666] [views.py:45] [views:getACData] [INFO]- 计科1904end ac data
[2020-01-29 17:51:48,666] [views.py:42] [views:getACData] [INFO]- 计科1805start ac data
[2020-01-29 17:51:48,671] [views.py:45] [views:getACData] [INFO]- 计科1805end ac data
[2020-01-29 17:51:48,672] [views.py:42] [views:getACData] [INFO]- 计科1808start ac data
[2020-01-29 17:51:48,676] [views.py:45] [views:getACData] [INFO]- 计科1808end ac data
[2020-01-29 17:51:48,676] [views.py:42] [views:getACData] [INFO]- 计科1901start ac data
[2020-01-29 17:51:48,682] [views.py:45] [views:getACData] [INFO]- 计科1901end ac data
[2020-01-29 17:51:48,683] [views.py:42] [views:getACData] [INFO]- 计科1803start ac data
[2020-01-29 17:51:48,685] [views.py:45] [views:getACData] [INFO]- 计科1803end ac data
[2020-01-29 17:51:48,685] [views.py:42] [views:getACData] [INFO]- 生工A1906start ac data
[2020-01-29 17:51:48,687] [views.py:45] [views:getACData] [INFO]- 生工A1906end ac data
[2020-01-29 17:51:48,688] [views.py:42] [views:getACData] [INFO]- 计科1805start ac data
[2020-01-29 17:51:48,692] [views.py:45] [views:getACData] [INFO]- 计科1805end ac data
[2020-01-29 17:51:48,693] [views.py:42] [views:getACData] [INFO]- 计科1801start ac data
[2020-01-29 17:51:48,695] [views.py:45] [views:getACData] [INFO]- 计科1801end ac data
[2020-01-29 17:51:48,696] [views.py:42] [views:getACData] [INFO]- 计科1807start ac data
[2020-01-29 17:51:48,699] [views.py:45] [views:getACData] [INFO]- 计科1807end ac data
[2020-01-29 17:51:48,701] [views.py:42] [views:getACData] [INFO]- 计科1705start ac data
[2020-01-29 17:51:48,706] [views.py:45] [views:getACData] [INFO]- 计科1705end ac data
[2020-01-29 17:51:48,706] [views.py:42] [views:getACData] [INFO]- 计科1302start ac data
[2020-01-29 17:51:48,709] [views.py:45] [views:getACData] [INFO]- 计科1302end ac data
[2020-01-29 17:51:48,709] [views.py:42] [views:getACData] [INFO]- 计科1404start ac data
[2020-01-29 17:51:48,712] [views.py:45] [views:getACData] [INFO]- 计科1404end ac data
[2020-01-29 17:51:48,715] [views.py:42] [views:getACData] [INFO]- 计科1701start ac data
[2020-01-29 17:51:48,717] [views.py:45] [views:getACData] [INFO]- 计科1701end ac data
[2020-01-29 17:51:48,718] [views.py:42] [views:getACData] [INFO]- 计科1807start ac data
[2020-01-29 17:51:48,720] [views.py:45] [views:getACData] [INFO]- 计科1807end ac data
[2020-01-29 17:51:48,724] [views.py:42] [views:getACData] [INFO]- 数据1801start ac data
[2020-01-29 17:51:48,728] [views.py:45] [views:getACData] [INFO]- 数据1801end ac data
[2020-01-29 17:51:48,729] [views.py:42] [views:getACData] [INFO]- 自控1910start ac data
[2020-01-29 17:51:48,731] [views.py:45] [views:getACData] [INFO]- 自控1910end ac data
[2020-01-29 17:51:48,731] [views.py:42] [views:getACData] [INFO]- 计科1602start ac data
[2020-01-29 17:51:48,733] [views.py:45] [views:getACData] [INFO]- 计科1602end ac data
[2020-01-29 17:51:48,736] [views.py:42] [views:getACData] [INFO]- 计科1701start ac data
[2020-01-29 17:51:48,740] [views.py:45] [views:getACData] [INFO]- 计科1701end ac data
[2020-01-29 17:51:48,740] [views.py:42] [views:getACData] [INFO]- 计科1603start ac data
[2020-01-29 17:51:48,743] [views.py:45] [views:getACData] [INFO]- 计科1603end ac data
[2020-01-29 17:51:48,743] [views.py:42] [views:getACData] [INFO]- 计科1503start ac data
[2020-01-29 17:51:48,747] [views.py:45] [views:getACData] [INFO]- 计科1503end ac data
[2020-01-29 17:51:48,748] [views.py:42] [views:getACData] [INFO]- 数学1701start ac data
[2020-01-29 17:51:48,750] [views.py:45] [views:getACData] [INFO]- 数学1701end ac data
[2020-01-29 17:51:48,751] [views.py:42] [views:getACData] [INFO]- 计科1705start ac data
[2020-01-29 17:51:48,754] [views.py:45] [views:getACData] [INFO]- 计科1705end ac data
[2020-01-29 17:51:48,758] [views.py:42] [views:getACData] [INFO]- 计科1602start ac data
[2020-01-29 17:51:48,761] [views.py:45] [views:getACData] [INFO]- 计科1602end ac data
[2020-01-29 17:51:48,761] [views.py:42] [views:getACData] [INFO]- 计科1604start ac data
[2020-01-29 17:51:48,763] [views.py:45] [views:getACData] [INFO]- 计科1604end ac data
